"Ár";"Launþegahópur";"Kyn";"Regluleg laun - alls Meðaltal"
"2008";"Alls";"Alls";301
"2009";"Alls";"Alls";318
"2010";"Alls";"Alls";330
"2011";"Alls";"Alls";346
"2012";"Alls";"Alls";369
"2013";"Alls";"Alls";398
"2014";"Alls";"Alls";415
