"Mæling";"Vídd";"Hlutfall (%) 2004";"Hlutfall (%) 2005";"Hlutfall (%) 2006";"Hlutfall (%) 2007";"Hlutfall (%) 2008";"Hlutfall (%) 2009";"Hlutfall (%) 2010";"Hlutfall (%) 2011";"Hlutfall (%) 2012";"Hlutfall (%) 2013";"Hlutfall (%) 2014"
"Skortur á efnislegum gæðum";"Allir";8.0;8.0;7.0;7.4;2.5;3.4;6.5;6.9;6.8;6.6;5.5
"Verulegur skortur á efnislegum gæðum";"Allir";2.5;2.7;2.1;2.1;0.8;0.8;1.8;2.1;2.4;1.9;1.4
